formula,smiles,mult,inchi,ATcT,ANL1,ANL0,ATcTsig
CH4+O=CH3+OH,,2,"InChI=1S/CH4/h1H4+InChI=1S/O=InChI=1S/CH3/h1H3+InChI=1S/HO/h1H",,,225.5198937,
CH3+HO2=CH4+O2,,2,"InChI=1S/CH3/h1H3+InChI=1S/HO2/c1-2/h1H=InChI=1S/CH4/h1H4+InChI=1S/O2/c1-2",,,159.8379559,
H2+CH3=H+CH4,,2,"InChI=1S/H2/h1H+InChI=1S/CH3/h1H3=InChI=1S/H+InChI=1S/CH4/h1H4",,,206.6765246,
CH3+H2=CH4+H,,2,"InChI=1S/CH3/h1H3+InChI=1S/H2/h1H=InChI=1S/CH4/h1H4+InChI=1S/H",,,206.6765246,
H+CH4=H2+CH3,,2,"InChI=1S/CH4/h1H4+InChI=1S/H=InChI=1S/CH3/h1H3+InChI=1S/H2/h1H",,,205.7193012,
CH4+OH=H2O+CH3,,2,"InChI=1S/CH4/h1H4+InChI=1S/HO/h1H=InChI=1S/H2O/h1H2+InChI=1S/CH3/h1H3",,,-8.6830,
CH4+OH=CH3+H2O,,2,"InChI=1S/CH4/h1H4+InChI=1S/HO/h1H=InChI=1S/CH3/h1H3+InChI=1S/H2O/h1H2",,,-8.6830,
CH3+H2O=CH4+OH,,2,"InChI=1S/CH3/h1H3+InChI=1S/H2O/h1H2=InChI=1S/CH4/h1H4+InChI=1S/HO/h1H",,,-8.0766,
CH4+HO2=CH3+H2O2,,2,"InChI=1S/CH4/h1H4+InChI=1S/HO2/c1-2/h1H=InChI=1S/CH3/h1H3+InChI=1S/H2O2/c1-2/h1-2H",,,50.31736453,
CH4+CH3=CH4+CH3,,2,"InChI=1S/CH4/h1H4+InChI=1S/CH3/h1H3=InChI=1S/CH4/h1H4+InChI=1S/CH3/h1H3",,,155.1993089190,
C2H4OH=C2H4+OH,,2,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/HO/h1H",,,99.2402,
C2H4+OH=C2H4OH,,2,"InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/HO/h1H=InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",,,97.0762,
C2H4+CH3=C3H7,,2,”InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/CH3/h1H3=InChI=1S/C3H7/c1-3-2/h1,3H2,2H3”,,,247.34033,
C3H7=C2H4+CH3,,2,”InChI=1S/C3H7/c1-3-2/h1,3H2,2H3=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/CH3/h1H3”,,,247.21275,
C2H4+H=C2H5,,2,"InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/H=InChI=1S/C2H5/c1-2/h1H2,2H3",,,288.9396,
C2H5=C2H4+H,,2,"InChI=1S/C2H5/c1-2/h1H2,2H3=InChI=1S/C2H4/c1-2/h1-2H2+InChI=1S/H",,,289.5673,
CH4O+CH3=CH3O+CH4,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/CH3/h1H3=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/CH4/h1H4",,,12.8751560,
CH3O+CH4=CH4O+CH3,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/CH4/h1H4=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/CH3/h1H3",,,13.016380076,
C2H6+HO=C2H5+H2O,"InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/HO/h1H=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2O/h1H2",,,-20.95724553,
C2H5+H2O=C2H6+HO,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2O/h1H2=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/HO/h1H",,,-20.7676432,
CH3O+H2=CH4O+H,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2/h1H=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/H",,,85.77873,
CH4O+H=CH3O+H2,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/H=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2/h1H",,,84.68029,
CH3O+H2O=CH4O+OH,"InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2O/h1H2=InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/HO/h1H",,,-137.18486,
CH4O+OH=CH3O+H2O,"InChI=1S/CH4O/c1-2/h2H,1H3+InChI=1S/HO/h1H=InChI=1S/CH3O/c1-2/h1H3+InChI=1S/H2O/h1H2",,,-137.932438,
C2H5+CH4=C2H6+CH3,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH4/h1H4=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/CH3/h1H3",,,141.947529,
C2H6+CH3=C2H5+CH4,"InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/CH3/h1H3=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/CH4/h1H4",,,142.743479,
C2H5+H2=C2H6+H,"InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2/h1H=InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/H",,,191.8783042,
C2H6+H=C2H5+H2,"InChI=1S/C2H6/c1-2/h1-2H3+InChI=1S/H=InChI=1S/C2H5/c1-2/h1H2,2H3+InChI=1S/H2/h1H",,,191.71703,
